"n","method","R2_mean","R2_sd","RMSE_mean","RMSE_sd","n_reps"
10,"ridge",-455.098066372742,3416.6265725788,4.32222948668829,2.26549722238935,100
20,"ridge",-0.807361636247311,1.44626030574848,4.08532724443749,1.44613154421905,100
50,"ridge",-0.141347588472738,0.327731107301451,4.35232460562548,1.07974975360185,100
100,"ridge",0.0629034562857414,0.135386031789271,4.11992509175553,0.581032075474624,100
250,"ridge",0.197930678705034,0.102576229586174,3.90850785168253,0.389027829622384,100
500,"ridge",0.308730338803299,0.0609625742783723,3.6045523357721,0.229225251299994,100
1000,"ridge",0.383950187830055,0.0367925730310531,3.40669524471801,0.163398612829514,100
10,"lasso",-195.619092577952,1113.23487545242,4.38486881269278,2.42356964327919,100
20,"lasso",-1.00487513079052,1.62092233761652,4.24944999437673,1.50450457558901,100
50,"lasso",-0.211179531173999,0.412900367652129,4.45213398159731,1.08368213824028,100
100,"lasso",-0.076710264200459,0.168447476598144,4.4091969256601,0.595079853213488,100
250,"lasso",0.11164790455776,0.137480621604616,4.10482845492739,0.398615400024948,100
500,"lasso",0.314378834880144,0.0775766805924774,3.5873779251654,0.261494861060427,100
1000,"lasso",0.532096105419206,0.0502666318186995,2.9637142143193,0.155166543197244,100
10,"enet",-369.594023746106,2268.08792144833,4.44846446885076,2.35583052437797,100
20,"enet",-1.03367642673395,1.67735053067548,4.26379589498628,1.52025872856307,100
50,"enet",-0.216721510670019,0.444955099739866,4.4476533264216,1.0972653194776,100
100,"enet",-0.060255737449018,0.190777363879611,4.37040471183355,0.608324802699189,100
250,"enet",0.151986975141647,0.142099718330317,4.00860849109148,0.401467236593388,100
500,"enet",0.340734122377782,0.0743422247522008,3.51654224060387,0.237003251307161,100
1000,"enet",0.534472291033568,0.0498559335787356,2.95616961730728,0.153198351782934,100
10,"adalasso",-443.514204328893,3289.56973639825,4.85205299424594,2.64175845447919,100
20,"adalasso",-1.39352889624602,2.21497470108042,4.56803516773419,1.85376323349858,100
50,"adalasso",-0.422372044395858,0.701209248062678,4.69588200490571,1.13177701224146,100
100,"adalasso",-0.234047348482317,0.336243849597981,4.6793807196664,0.727779282028926,100
250,"adalasso",0.0407237652735442,0.219526568131917,4.23712559060736,0.412677571499501,100
500,"adalasso",0.294593403944893,0.102033706222161,3.62957501779556,0.237493721150522,100
1000,"adalasso",0.52199391373457,0.0527973746959958,2.99505818613056,0.157780587317165,100
10,"scad",-321.319440027576,1688.54875230503,4.57765308776219,2.73679636017899,100
20,"scad",-1.12082324141359,1.83188629045334,4.34646851662051,1.58955725463852,100
50,"scad",-0.191800565428365,0.388828914671288,4.43903808710404,1.11593727949818,100
100,"scad",-0.0572397413217762,0.131820665472915,4.37589203629625,0.575995317374618,100
250,"scad",0.0938250091243395,0.0971533197361067,4.15956128585575,0.407870948594126,100
500,"scad",0.227721580354378,0.0676413634856419,3.81310892613269,0.289168875995259,100
1000,"scad",0.382943641871209,0.0741539336091109,3.40131105336251,0.18733260333069,100
10,"mcp",-2010.26818042902,16121.0593494911,4.54274226629054,2.47341293311249,100
20,"mcp",-1.15892430847343,1.9660960632084,4.33519248944807,1.56076886324631,100
50,"mcp",-0.19989280383458,0.335561000498391,4.4722785608224,1.1127664558447,100
100,"mcp",-0.0793855261407083,0.131829632710652,4.42545174294842,0.601173325538738,100
250,"mcp",0.0421020539937954,0.0895737684425063,4.27876036469518,0.414672046253118,100
500,"mcp",0.164454320546595,0.0817213901006847,3.96655450102402,0.325253751500555,100
1000,"mcp",0.357301290890398,0.0769503434206437,3.47091316490531,0.183209885990525,100
