"rep","n","method","R2","RMSE"
1,10,"adalasso",-478.20289285279,4.63605490848781
1,20,"adalasso",-1.90291966315797,3.88522537412357
1,50,"adalasso",-0.410360157803876,3.77736117425026
1,100,"adalasso",-0.377535830194046,4.95014435436226
1,250,"adalasso",-0.0176238243361486,3.80283782482766
1,500,"adalasso",0.414549592780844,3.53107185494369
1,1000,"adalasso",0.521687003932898,2.84961962706785
2,10,"adalasso",-6.54068646383806,1.28596864932231
2,20,"adalasso",0.0252358171958772,6.15639044608134
2,50,"adalasso",-1.2346304183629,3.73086913286402
2,100,"adalasso",-0.465775098628944,4.44487342248254
2,250,"adalasso",0.0362181562098345,3.70188727069262
2,500,"adalasso",0.154304079877088,3.39475680581564
2,1000,"adalasso",0.484928990333851,2.96606627765071
3,10,"adalasso",-36.0060119478016,1.96328697948242
3,20,"adalasso",-3.34838421497275,6.80446759683064
3,50,"adalasso",-0.188296933858869,3.14928888788687
3,100,"adalasso",0.120745253536876,4.25343662794084
3,250,"adalasso",0.0455769183124739,5.03067765869767
3,500,"adalasso",0.244373869418953,3.6189071884197
3,1000,"adalasso",0.571489066464171,3.02481851245048
4,10,"adalasso",-2.58306262554711,3.35678479610243
4,20,"adalasso",-3.31521962043575,5.50539539130616
4,50,"adalasso",-0.0973981710804426,2.98820246984068
4,100,"adalasso",-1.06217365794684,4.68456660239438
4,250,"adalasso",0.0272092241682718,4.55724298118228
4,500,"adalasso",0.469213654274576,3.31875240312318
4,1000,"adalasso",0.46717812448894,2.95052467683518
5,10,"adalasso",-8.55470278283046,10.2671075390192
5,20,"adalasso",-3.83420656880675,4.02835479035486
5,50,"adalasso",-1.42651671550252,7.12136846654451
5,100,"adalasso",-0.688190799546345,4.85680028500821
5,250,"adalasso",-0.0946446482886207,4.46261928174598
5,500,"adalasso",0.448746578132785,3.3553791193656
5,1000,"adalasso",0.525061429339177,2.92748631215335
6,10,"adalasso",0.095586463978554,2.21388365834458
6,20,"adalasso",-1.40101847818954,2.6428304032955
6,50,"adalasso",-0.947478873928985,3.96220792584454
6,100,"adalasso",0.310945336803834,3.19425634576973
6,250,"adalasso",0.337155280293071,3.99810031651589
6,500,"adalasso",0.291677832166644,3.7094797254192
6,1000,"adalasso",0.56543825176732,2.98130579570605
7,10,"adalasso",-2.76599658708148,8.33617701425551
7,20,"adalasso",-4.9780976199317,3.79714468789268
7,50,"adalasso",-1.15918541533325,5.14343150845665
7,100,"adalasso",0.360960274211998,3.71774729112612
7,250,"adalasso",0.00867783309108328,3.95866767730819
7,500,"adalasso",0.20799510698348,3.88856700599265
7,1000,"adalasso",0.566174335802588,2.83889506448885
8,10,"adalasso",-9.03328888381233,5.88630457020703
8,20,"adalasso",-0.432427937098669,6.03173757831316
8,50,"adalasso",-1.08983242568335,5.55990662316958
8,100,"adalasso",0.0795638785252293,3.87185975448088
8,250,"adalasso",0.0205144154720382,4.37340675526451
8,500,"adalasso",0.332799629765409,3.39500662342881
8,1000,"adalasso",0.472628448628727,3.1358681385277
9,10,"adalasso",-2.35301221071601,10.2613356917411
9,20,"adalasso",-0.209404896397855,8.34692756608685
9,50,"adalasso",-0.991298979151531,6.39575861962359
9,100,"adalasso",0.0675134092214627,5.47673148290525
9,250,"adalasso",0.0669876246819416,4.43589670013476
9,500,"adalasso",0.110126646651738,4.05491418428032
9,1000,"adalasso",0.48316954427392,3.09042811384152
10,10,"adalasso",-1.78784065017616,2.01334305503309
10,20,"adalasso",0.11242217980977,6.07016887287451
10,50,"adalasso",-0.0496844299506736,4.58710119957762
10,100,"adalasso",-0.339496127514912,4.34050897881451
10,250,"adalasso",-0.174970428456339,5.09966575255369
10,500,"adalasso",0.347615493667335,3.85110380977796
10,1000,"adalasso",0.519846745011758,2.7642570421904
11,10,"adalasso",-0.389572974577203,3.02048392030762
11,20,"adalasso",-5.16713779712,6.66008292728045
11,50,"adalasso",0.366127863867767,4.15102479407307
11,100,"adalasso",0.00546267601736683,4.65618350477319
11,250,"adalasso",-0.270150474694113,4.56760396480302
11,500,"adalasso",0.211849845949423,3.79064117533481
11,1000,"adalasso",0.484124216360244,3.36244744771
12,10,"adalasso",0.364852586102545,1.31200070636284
12,20,"adalasso",-1.26152771670846,2.28488484570099
12,50,"adalasso",0.0665751370087383,3.50131388577396
12,100,"adalasso",0.372636982705525,3.77622222222066
12,250,"adalasso",0.309485793099253,3.68955495132115
12,500,"adalasso",0.301711916222291,3.82719112158235
12,1000,"adalasso",0.444914770256084,3.23145486391454
13,10,"adalasso",-0.171377937681783,4.20175907858726
13,20,"adalasso",-0.00541819454692249,2.89226312882302
13,50,"adalasso",-0.0863125334144861,3.30182857668642
13,100,"adalasso",0.22706938702281,3.75724606679989
13,250,"adalasso",0.347345678204115,3.77205502231305
13,500,"adalasso",0.454773959058169,3.78914503351231
13,1000,"adalasso",0.662068099035677,2.82957998649668
14,10,"adalasso",-30.139919883785,5.86370149919357
14,20,"adalasso",-0.189402364876132,2.91729279051519
14,50,"adalasso",-0.0159444566650164,5.28886848898368
14,100,"adalasso",-0.50139944508934,5.12808169203772
14,250,"adalasso",0.0685917878523021,4.32127808818555
14,500,"adalasso",0.192621506929846,3.93526503003089
14,1000,"adalasso",0.458701413341961,3.01524459082761
15,10,"adalasso",-20.4968673400245,4.12468412176565
15,20,"adalasso",-0.891239168338295,1.90453754676962
15,50,"adalasso",0.132094640609306,4.20593737366674
15,100,"adalasso",-0.374245022556,5.49291394047608
15,250,"adalasso",0.101218041694714,3.88600259365938
15,500,"adalasso",0.261482595508407,3.73416489605225
15,1000,"adalasso",0.517407151709933,3.13253334247615
16,10,"adalasso",-0.330156413043481,4.47916317675963
16,20,"adalasso",-0.682294768381742,5.59358840483502
16,50,"adalasso",-0.0278537243673522,2.93711325959947
16,100,"adalasso",0.0647144212645734,4.23889960983733
16,250,"adalasso",0.0552755244720738,4.1038136759908
16,500,"adalasso",0.392276557972451,3.22835224536667
16,1000,"adalasso",0.58700578249303,2.68859682407964
17,10,"adalasso",-22.1694460686161,1.63953882993269
17,20,"adalasso",-1.62086998785291,5.99943474689623
17,50,"adalasso",-0.177748334192191,5.02178633952459
17,100,"adalasso",0.148802786578981,4.14780231448477
17,250,"adalasso",0.07372751838713,4.12570716622398
17,500,"adalasso",0.245084489979945,4.06911091713715
17,1000,"adalasso",0.535842186607294,3.25717139205138
18,10,"adalasso",-5.98190691262386,5.56507409819092
18,20,"adalasso",-0.743012026206027,5.1548142039306
18,50,"adalasso",-0.693350926785468,4.61378556746786
18,100,"adalasso",0.333442439296007,3.16309670228497
18,250,"adalasso",0.313089362136963,3.93893364548918
18,500,"adalasso",0.309264497130589,3.41701352129198
18,1000,"adalasso",0.513312320201277,3.05531111455486
19,10,"adalasso",-7.50929590770733,10.6454541430363
19,20,"adalasso",-1.76772308113248,10.1659256352378
19,50,"adalasso",-0.00139301181327323,4.55852205726904
19,100,"adalasso",-0.208407002535537,4.93601845497164
19,250,"adalasso",0.137344161063722,4.30896954584677
19,500,"adalasso",0.286570469727956,3.68182554371112
19,1000,"adalasso",0.437364790621879,3.00812307179285
20,10,"adalasso",-16.327992415465,6.90357561664424
20,20,"adalasso",-0.120631867149446,2.96981439318637
20,50,"adalasso",-0.535018548895395,3.93979259046121
20,100,"adalasso",0.13048119716021,4.04168680188288
20,250,"adalasso",-0.349614575471848,5.23101902972433
