"rep","n","method","R2","RMSE"
1,10,"enet",-465.999926690595,4.57664537041478
1,20,"enet",-1.30802635304785,3.46432868228984
1,50,"enet",-0.354080234813111,3.70122678256345
1,100,"enet",-0.471446212641958,5.11609508792932
1,250,"enet",0.166522213077755,3.44160629102767
1,500,"enet",0.426930987340788,3.49353390019255
1,1000,"enet",0.520486281464955,2.85319412503729
2,10,"enet",0.2419234080798,0.407738276253629
2,20,"enet",0.0730188178375158,6.00360116349444
2,50,"enet",-0.727658423555083,3.28047024962709
2,100,"enet",-0.0196582111757797,3.70725994387936
2,250,"enet",0.123310417854696,3.5306668680821
2,500,"enet",0.249006242306785,3.19904031739103
2,1000,"enet",0.491234922369472,2.94785382529815
3,10,"enet",-34.4463430368372,1.92146891099763
3,20,"enet",-1.27453919846242,4.92126677144522
3,50,"enet",-0.27481703181709,3.26192477323119
3,100,"enet",0.0683312394220523,4.3783792072556
3,250,"enet",0.193711731264284,4.6238229301374
3,500,"enet",0.344171099716805,3.37146951070696
3,1000,"enet",0.562579827583486,3.05610148768912
4,10,"enet",-4.92860388398715,4.31789937352612
4,20,"enet",-1.87764007204209,4.49578257121981
4,50,"enet",-0.377515857143557,3.34792875723594
4,100,"enet",-0.287435457945397,3.70142993927198
4,250,"enet",0.109796704560035,4.35950381064054
4,500,"enet",0.492511486608093,3.24510004276521
4,1000,"enet",0.477621031930588,2.92146756726704
5,10,"enet",-3.85495845055807,7.31867191166767
5,20,"enet",-0.00882435690039318,1.84023332376976
5,50,"enet",-0.935511519899447,6.36018420184426
5,100,"enet",-0.427455046842356,4.46602038449597
5,250,"enet",-0.0518376176728548,4.37449181108135
5,500,"enet",0.489826989174082,3.2279343120941
5,1000,"enet",0.555715146990296,2.83143702162953
6,10,"enet",-0.341649178051904,2.69643994535019
6,20,"enet",-1.39045749846902,2.63701169802033
6,50,"enet",-0.398660683924823,3.35781734657907
6,100,"enet",0.206073443603571,3.42872846329547
6,250,"enet",0.364348919737927,3.9152291099162
6,500,"enet",0.342101895576135,3.5750070483598
6,1000,"enet",0.569036957429682,2.96893569347835
7,10,"enet",-1.52600602466968,6.82722409151757
7,20,"enet",-4.70118845030322,3.70815895961431
7,50,"enet",-0.923341026570781,4.85440649068356
7,100,"enet",0.307219809212553,3.87091529464853
7,250,"enet",0.138615644982174,3.69011691377933
7,500,"enet",0.220996439539387,3.85651811684349
7,1000,"enet",0.559917834080562,2.85929262627834
8,10,"enet",-3.14698146720757,3.78431360001986
8,20,"enet",-0.189841834854506,5.49731552495472
8,50,"enet",-0.546142528465252,4.78229683607714
8,100,"enet",-0.00868915672379034,4.05323204252601
8,250,"enet",0.126166324245464,4.13081015349713
8,500,"enet",0.337723461547758,3.38245612304346
8,1000,"enet",0.474020629845373,3.1317262942121
9,10,"enet",-2.35301221071601,10.2613356917411
9,20,"enet",-0.209404896397855,8.34692756608685
9,50,"enet",-0.0164244113764176,4.56942309837055
9,100,"enet",0.041185071250317,5.553509825432
9,250,"enet",0.254110932361409,3.96620212498957
9,500,"enet",0.29438906373304,3.61077326347765
9,1000,"enet",0.49402688462852,3.05779465922485
10,10,"enet",-3.86508184539033,2.65967691129477
10,20,"enet",-0.014902661005447,6.4909721901262
10,50,"enet",-0.0496844299506736,4.58710119957762
10,100,"enet",-0.152341441540713,4.02587714861648
10,250,"enet",-0.0610029692239424,4.84603496663473
10,500,"enet",0.424886215804755,3.61584907505118
10,1000,"enet",0.539795800092438,2.70622420981082
11,10,"enet",-0.389572974577202,3.02048392030762
11,20,"enet",-2.46509252165003,4.99223738505819
11,50,"enet",0.239736834221505,4.54607369432312
11,100,"enet",0.278345795082844,3.96628683109655
11,250,"enet",-0.0683949632432024,4.18915828078681
11,500,"enet",0.305880982508128,3.55733827425699
11,1000,"enet",0.491378075948592,3.33872364478899
12,10,"enet",-1.29080345229693,2.49167110722381
12,20,"enet",-0.0160604322274438,1.53152161132653
12,50,"enet",0.00674957215807781,3.61177547084895
12,100,"enet",-0.0374674858400974,4.85607442522332
12,250,"enet",0.317646572025786,3.66768781693347
12,500,"enet",0.341825270935185,3.71563835008621
12,1000,"enet",0.475217266391414,3.14201335924695
13,10,"enet",-0.635690958953374,4.96516006493829
13,20,"enet",-0.00541819454692249,2.89226312882302
13,50,"enet",0.0210987025788045,3.13434341904969
13,100,"enet",0.146955039492352,3.94716558043991
13,250,"enet",0.327452916267291,3.8291092442617
13,500,"enet",0.417075427622706,3.91795203506566
13,1000,"enet",0.663374345039235,2.82410594539206
14,10,"enet",-23.8096551471957,5.23387651746361
14,20,"enet",-0.193794699810703,2.92267445078446
14,50,"enet",-0.226358955119546,5.81080884613246
14,100,"enet",-0.401045948437597,4.95373760635017
14,250,"enet",0.108076987221004,4.22869019548721
14,500,"enet",0.243332642769898,3.80967473233385
