"rep","n","method","R2","RMSE"
1,10,"lasso",-485.771959274291,4.67252497849694
1,20,"lasso",-0.830385405695823,3.085105216075
1,50,"lasso",-0.161347758749229,3.42771448511388
1,100,"lasso",-0.119430433990763,4.46236372900848
1,250,"lasso",0.138429656520732,3.49912568922523
1,500,"lasso",0.432204701142969,3.4774219829934
1,1000,"lasso",0.525512329876735,2.83820178320255
2,10,"lasso",-3.8850026462304,1.03504049366158
2,20,"lasso",-0.0161923540681852,6.2858546658846
2,50,"lasso",-0.244314984208472,2.78401985359694
2,100,"lasso",0.00711251928523116,3.65826991634852
2,250,"lasso",0.0250251596535892,3.7233213753511
2,500,"lasso",0.217305337527486,3.26586129690241
2,1000,"lasso",0.488623451653891,2.95540974930669
3,10,"lasso",-35.7863178281434,1.9574505673844
3,20,"lasso",-0.616702730717277,4.14901763681351
3,50,"lasso",-0.188296933858869,3.14928888788687
3,100,"lasso",0.110453987225394,4.27825645805732
3,250,"lasso",0.180399180754164,4.66183840992196
3,500,"lasso",0.298715956451093,3.48634964249734
3,1000,"lasso",0.589485631200267,2.96061919141263
4,10,"lasso",-7.40002144414486,5.13968493522869
4,20,"lasso",-2.1839897062168,4.72903894519494
4,50,"lasso",0.0186967799759652,2.82572254276853
4,100,"lasso",-0.27592107566651,3.68484060210224
4,250,"lasso",0.0649066120177726,4.46806987016715
4,500,"lasso",0.419187197943793,3.47162711651574
4,1000,"lasso",0.476699890996472,2.92404222880354
5,10,"lasso",-1.09791072655179,4.81097413052567
5,20,"lasso",-0.00882435690039318,1.84023332376976
5,50,"lasso",-0.93597692649853,6.36094883014734
5,100,"lasso",-0.120973529438795,3.95764795243681
5,250,"lasso",-0.0480446946737743,4.36659748636602
5,500,"lasso",0.370248746202566,3.5863318140891
5,1000,"lasso",0.545550316954791,2.86364418716309
6,10,"lasso",-0.341649178051904,2.69643994535019
6,20,"lasso",-1.4835767853266,2.68788286666142
6,50,"lasso",-0.398660683924823,3.35781734657907
6,100,"lasso",-0.0422975581637508,3.92860882898243
6,250,"lasso",0.288851400721505,4.14121678689821
6,500,"lasso",0.341087855188648,3.57776112659213
6,1000,"lasso",0.571647968100091,2.95992830878132
7,10,"lasso",-1.16143401881467,6.31535776378962
7,20,"lasso",-2.64046700471801,2.96315380351335
7,50,"lasso",-0.987385040050984,4.93456643318317
7,100,"lasso",0.415738271206499,3.55483671627909
7,250,"lasso",0.0846711813320464,3.80390974896225
7,500,"lasso",0.273301658333311,3.72479811752045
7,1000,"lasso",0.557794174572402,2.86618322149965
8,10,"lasso",-7.18831288115514,5.31763207984013
8,20,"lasso",-0.432427937098669,6.03173757831316
8,50,"lasso",-0.110777123786028,4.05345382031817
8,100,"lasso",-0.00829606527596649,4.05244218268661
8,250,"lasso",0.0934541216939218,4.20741877823445
8,500,"lasso",0.327751899510231,3.40782495180504
8,1000,"lasso",0.475177902086767,3.12827914794038
9,10,"lasso",-2.35301221071601,10.2613356917411
9,20,"lasso",-0.209404896397855,8.34692756608685
9,50,"lasso",-0.00794608998992641,4.55032568015683
9,100,"lasso",0.00107323433015905,5.66848466219784
9,250,"lasso",0.208951122398203,4.08450452289665
9,500,"lasso",0.244540051550329,3.73614126472991
9,1000,"lasso",0.47806803067859,3.10564310979455
10,10,"lasso",-3.86508184539033,2.65967691129477
10,20,"lasso",-0.00199856959189626,6.44957509257974
10,50,"lasso",-0.0496844299506736,4.58710119957762
10,100,"lasso",0.0147444788859425,3.72258279976354
