"rep","n","method","R2","RMSE"
1,10,"mcp",-542.522935754654,4.93739409270598
1,20,"mcp",-1.30802635304786,3.46432868228984
1,50,"mcp",-0.00520833362376227,3.18897810098847
1,100,"mcp",-0.129589145399669,4.48256573644015
1,250,"mcp",0.0592588106959702,3.65636254711444
1,500,"mcp",0.18898135070313,4.15601321176923
1,1000,"mcp",0.371919537334041,3.26541546299515
2,10,"mcp",-2.05016634391827,0.817874563676762
2,20,"mcp",-0.0161923540681852,6.2858546658846
2,50,"mcp",-1.3128897353108,3.79563661004071
2,100,"mcp",-0.0753257998805239,3.8071129453847
2,250,"mcp",-0.020904839334092,3.81001293841188
2,500,"mcp",0.109767299072831,3.48299877360972
2,1000,"mcp",0.312253437219866,3.42737411304776
3,10,"mcp",-34.5051508239905,1.92306217135144
3,20,"mcp",-0.505962081177183,4.00439779385981
3,50,"mcp",-0.188296933858869,3.14928888788687
3,100,"mcp",-0.0399107325777821,4.62573379561713
3,250,"mcp",0.141926424656493,4.76999899839634
3,500,"mcp",0.159441788181334,3.81687431038892
3,1000,"mcp",0.410939882496234,3.5464854172501
4,10,"mcp",-7.23022105738477,5.08747221189769
4,20,"mcp",-2.00143528304729,4.59146792582961
4,50,"mcp",-0.0287060772217276,2.89316736157032
4,100,"mcp",-0.04213012948588,3.33018052331253
4,250,"mcp",0.0185280778121168,4.57753214473404
4,500,"mcp",0.0847339091285126,4.35801447229114
4,1000,"mcp",0.299593161585754,3.38285526230319
5,10,"mcp",-1.09791072655179,4.81097413052567
5,20,"mcp",-0.00882435690039318,1.84023332376976
5,50,"mcp",-0.940666294939039,6.36864798996364
5,100,"mcp",-0.142542013621542,3.99554080464371
5,250,"mcp",-0.150562941992373,4.57518278527984
5,500,"mcp",0.191181300359635,4.06435411903266
5,1000,"mcp",0.376458324031524,3.35435401501261
6,10,"mcp",-0.341649178051904,2.69643994535019
6,20,"mcp",-0.822914337667747,2.30279179577922
6,50,"mcp",-0.398660683924823,3.35781734657907
6,100,"mcp",-0.139266741917448,4.10729255407601
6,250,"mcp",0.178246281951795,4.45162553791742
6,500,"mcp",0.223448962953195,3.8840300995674
6,1000,"mcp",0.35640944624206,3.62815311831634
7,10,"mcp",-0.972889916619968,6.03362609818512
7,20,"mcp",-1.14546346391536,2.27476326498014
7,50,"mcp",-0.547026849638334,4.35368413844072
7,100,"mcp",0.347090652184579,3.75787543989355
7,250,"mcp",0.106731853162612,3.75779046550193
7,500,"mcp",0.211680436951371,3.8795093838303
7,1000,"mcp",0.468518005231618,3.14221572553037
8,10,"mcp",-5.25021055024171,4.64588435386457
8,20,"mcp",-0.432427937098669,6.03173757831316
8,50,"mcp",-0.157569784997498,4.13795112993047
8,100,"mcp",-0.00829606527596649,4.05244218268661
8,250,"mcp",-0.0251796439833178,4.47425605192415
8,500,"mcp",0.276114309969954,3.53628681943572
8,1000,"mcp",0.343157021426328,3.49969521930146
9,10,"mcp",-2.35301221071601,10.2613356917411
9,20,"mcp",-0.209404896397855,8.34692756608685
9,50,"mcp",-0.0800384523417184,4.71024435952567
9,100,"mcp",0.00105570627613882,5.66853439410659
9,250,"mcp",0.100244311156677,4.35612188199764
9,500,"mcp",0.165084965166629,3.92770360393868
9,1000,"mcp",0.279274162903804,3.64946869534892
10,10,"mcp",-3.86508184539033,2.65967691129477
10,20,"mcp",-0.00199856959189626,6.44957509257974
10,50,"mcp",-0.0496844299506736,4.58710119957762
10,100,"mcp",0.0246046069164485,3.70390874109377
10,250,"mcp",-0.049180967573087,4.81896137903773
10,500,"mcp",0.22149196390265,4.20692680913469
10,1000,"mcp",0.360139255326198,3.19103244232135
11,10,"mcp",-0.389572974577203,3.02048392030762
11,20,"mcp",-0.0862274100296794,2.79510540127346
11,50,"mcp",-0.0108722546557298,5.24206781594591
11,100,"mcp",-0.0565456940793534,4.79914295759287
11,250,"mcp",0.123299150956222,3.79477968890958
11,500,"mcp",0.105351920410591,4.03863226329576
11,1000,"mcp",0.391599923763857,3.65155262973678
12,10,"mcp",-8.89234197363798,5.17781301054275
12,20,"mcp",0.361767917433144,1.21381549064023
12,50,"mcp",0.0598588870812327,3.51388776883307
12,100,"mcp",-0.0756867890675339,4.94471203007566
12,250,"mcp",0.108496880610181,4.19226866889244
12,500,"mcp",0.143472213058717,4.23870862297618
12,1000,"mcp",0.343877174159987,3.51326437457829
13,10,"mcp",-6.09707203638151,10.3424215129924
13,20,"mcp",-0.00541819454692249,2.89226312882302
13,50,"mcp",-0.13570050600496,3.37605129398656
13,100,"mcp",0.0704065207340966,4.12046204997114
13,250,"mcp",0.0560520273588593,4.53639057032466
13,500,"mcp",0.196801253489415,4.59901095976374
13,1000,"mcp",0.531834383103704,3.33048235344941
14,10,"mcp",-19.2443914898231,4.72786940629489
14,20,"mcp",0.486970511728697,1.91596152735648
14,50,"mcp",-0.388386454957647,6.1827682730857
14,100,"mcp",-0.156597232036474,4.50088466001862
14,250,"mcp",0.0213607517033958,4.42948768573813
14,500,"mcp",0.08164440651572,4.19701803876973
14,1000,"mcp",0.345538533196982,3.31547792880649
15,10,"mcp",-27.4492797702087,4.74502762005449
15,20,"mcp",-0.89228963345707,1.90506639911201
15,50,"mcp",0.0452454787930112,4.41135977229983
15,100,"mcp",-0.00691151765655773,4.70182393872501
15,250,"mcp",-0.0153852183020531,4.13039257663285
15,500,"mcp",0.223354282958153,3.82934592635786
15,1000,"mcp",0.40134604172727,3.48893750791259
16,10,"mcp",-0.00531219531833838,3.89400050334518
16,20,"mcp",-0.391436283062648,5.08710991195937
16,50,"mcp",0.0297216711159465,2.85366640658568
16,100,"mcp",-0.00578180126902872,4.39574913053057
16,250,"mcp",0.0606983971898208,4.0920184447641
16,500,"mcp",0.277005660040339,3.52123790874536
16,1000,"mcp",0.422748122132202,3.17860361517056
17,10,"mcp",-22.1694460686161,1.63953882993269
17,20,"mcp",-1.62086998785291,5.99943474689623
17,50,"mcp",-0.144060878687606,4.94944553127331
17,100,"mcp",0.00518779780853718,4.48408157576213
17,250,"mcp",0.00673500475353783,4.2722984504518
17,500,"mcp",0.0536794240423963,4.55585082851049
17,1000,"mcp",0.416362431294654,3.65240895354286
18,10,"mcp",-2.19305056696923,3.76345582182132
18,20,"mcp",-0.107548488279391,4.10907623806063
18,50,"mcp",-0.959404488035847,4.96301937366166
18,100,"mcp",-0.0497998380098041,3.96960131335325
18,250,"mcp",0.265521498881298,4.07303449141322
18,500,"mcp",0.123770915338799,3.84857221634348
18,1000,"mcp",0.375718345024498,3.46035416002708
19,10,"mcp",-5.20636435235213,9.09150986307782
19,20,"mcp",-0.120432330212745,6.46812533362026
19,50,"mcp",-0.0505115791847459,4.66898204965481
19,100,"mcp",-0.0102457780339742,4.51319065491732
19,250,"mcp",0.024377144246247,4.58242773146761
19,500,"mcp",0.133050499568973,4.05867770574924
19,1000,"mcp",0.240293931894298,3.4954648962141
20,10,"mcp",-15.0689594741023,6.64804329785709
20,20,"mcp",-0.114494325144178,2.96167060089053
20,50,"mcp",-0.0233667662318184,3.216860290895
20,100,"mcp",0.00126554394860179,4.33159839225892
20,250,"mcp",-0.123286659093168,4.77228883182077
20,500,"mcp",0.0699544453797097,3.81226501343718
20,1000,"mcp",0.293548322873475,3.55892948878019
21,10,"mcp",-2.04051553989329,2.56682153556082
21,20,"mcp",-4.92160169451919,3.5712165385201
21,50,"mcp",-0.193398636109634,3.92659455723859
21,100,"mcp",-0.0204238183184717,3.95399652855463
21,250,"mcp",0.052464572068986,4.49685727849076
21,500,"mcp",0.245705100095281,4.1070736057247
21,1000,"mcp",0.270472391171307,3.84384569160465
22,10,"mcp",-0.0125604624674489,2.05761376192529
22,20,"mcp",-0.213034212043023,5.29040992698726
22,50,"mcp",-0.225771587787644,4.6269840773174
22,100,"mcp",-0.15685759668987,4.07245512014189
22,250,"mcp",-0.0493402054535041,4.83006768190727
22,500,"mcp",0.100099276119301,4.07092122357297
22,1000,"mcp",0.320494502179184,3.61926242643354
23,10,"mcp",-0.462754926653056,0.744957603638392
23,20,"mcp",-0.247692651841498,4.41401716756873
23,50,"mcp",-0.699103443637063,4.85163897002604
23,100,"mcp",-0.169495444937916,3.3284163082718
23,250,"mcp",0.0884099045753625,3.72943221813572
23,500,"mcp",0.203897033645265,3.74083470974734
23,1000,"mcp",0.371877231386146,3.43518045624637
24,10,"mcp",-3337.52644535817,3.77728008975441
24,20,"mcp",-0.681889236835364,6.34893206074309
24,50,"mcp",-0.125192742549407,2.81420972066339
24,100,"mcp",-0.000201913817885258,3.88244358458731
24,250,"mcp",-0.00815972449658542,3.82609236154478
24,500,"mcp",0.108113938992017,4.20973610332865
24,1000,"mcp",0.271633349679066,3.67679287835247
25,10,"mcp",-7.75687864476016e-05,6.21148815390305
25,20,"mcp",-0.185114311573384,6.3824022041356
25,50,"mcp",-0.227860065092301,5.7271439702996
25,100,"mcp",-0.166928783648902,4.92847531054052
25,250,"mcp",-0.0419380113077872,4.57062531545388
25,500,"mcp",0.0551584584654758,4.01133499670787
25,1000,"mcp",0.256634901495821,3.84932677350443
26,10,"mcp",-7.50857881402423,8.18449803581834
26,20,"mcp",-0.0401792758220745,4.88561160800836
26,50,"mcp",-0.502571414571519,4.8965923004397
26,100,"mcp",-0.000329676676456225,6.76526040872155
26,250,"mcp",-0.018992482667245,4.27380984294706
26,500,"mcp",0.0638190939347409,4.71368305914373
26,1000,"mcp",0.327377452601326,3.57624079658822
27,10,"mcp",0.0691217459408264,5.04947813890118
27,20,"mcp",-5.69984068621933,5.62995893574507
27,50,"mcp",0.0039376561392872,5.18194032158724
27,100,"mcp",0.00899966972659927,4.88325714481096
27,250,"mcp",-0.0625243460209484,4.27057432865539
27,500,"mcp",0.139958009746502,4.2030731483161
27,1000,"mcp",0.383745271941142,3.42033527996721
28,10,"mcp",-1.29429152627553,5.14342928923407
28,20,"mcp",-2.38402903729979,4.40983520046255
28,50,"mcp",-0.00229252185960505,5.5101264946459
28,100,"mcp",-0.0509907785833246,4.24929673794493
28,250,"mcp",0.0201159074615405,4.03003161883945
28,500,"mcp",0.177264813859873,3.76556820143608
28,1000,"mcp",0.3204810116371,3.35467761557324
29,10,"mcp",-0.7050953883959,3.94588230648535
29,20,"mcp",-1.60908098688719,3.62117049459056
29,50,"mcp",-0.0503724763211699,5.57597923427614
29,100,"mcp",-0.00184510350999312,4.62793216122779
29,250,"mcp",0.0541070272781488,4.57680641009891
29,500,"mcp",0.193812551847556,4.02990113322983
29,1000,"mcp",0.533977036912083,3.09930468429603
30,10,"mcp",-5.01057550505732,9.14157874420888
30,20,"mcp",-7.85864716360492,5.75277367971027
30,50,"mcp",-0.0860359325503657,4.63859104993421
30,100,"mcp",-0.167000596402764,4.32759849999815
30,250,"mcp",-0.014888644114154,4.30593855903346
30,500,"mcp",0.0965009363917397,3.92142284927996
30,1000,"mcp",0.389069230520937,3.36117816318832
31,10,"mcp",-0.00360817349081688,1.38272675904023
31,20,"mcp",-0.144981893212631,7.41118860976396
31,50,"mcp",-0.0782714577415164,4.27989572926763
31,100,"mcp",-0.00517338484182428,5.2659495060159
31,250,"mcp",0.0061348363853182,3.85621685147784
31,500,"mcp",0.184599086017375,3.79444934112234
31,1000,"mcp",0.38780686990907,3.53188534160069
32,10,"mcp",-15.2193257812318,9.00008121280255
32,20,"mcp",-2.92516120735088,7.42008883609424
32,50,"mcp",-0.000332594648810636,4.84222014786231
32,100,"mcp",0.0498023738875268,4.85186325247335
32,250,"mcp",-0.00983875116129962,4.66099260521986
32,500,"mcp",0.180311030606342,4.05050507021361
32,1000,"mcp",0.379879551203339,3.33198593012149
33,10,"mcp",-1.18738368995415,2.06664253869945
33,20,"mcp",-1.88223018417295,3.71592086927332
33,50,"mcp",-0.235538008116016,3.74498821708744
33,100,"mcp",-0.342445161477947,4.40573007756477
33,250,"mcp",0.13214293261346,4.23413794216265
33,500,"mcp",0.306851392600609,3.46684207285515
33,1000,"mcp",0.339678445106296,3.50775994195482
34,10,"mcp",-41.5159799602082,1.1754649062582
34,20,"mcp",-0.783525893164311,4.04726770028506
34,50,"mcp",-0.130772784468109,4.9157572489149
34,100,"mcp",-0.07296725310811,4.42563244096813
34,250,"mcp",0.0541354886922901,4.57596932538852
34,500,"mcp",0.181269626225892,3.57775748397437
34,1000,"mcp",0.331446044848373,3.21295497011066
35,10,"mcp",-35130.7631963894,6.0963520897318
35,20,"mcp",-1.04509872269555,3.2379105582757
35,50,"mcp",-0.216602867770532,2.7948930027137
35,100,"mcp",-0.0209911470443407,4.9391987455635
35,250,"mcp",0.201013773314253,3.47797463692975
35,500,"mcp",0.205120130795121,3.88620736992307
35,1000,"mcp",0.384252830431092,3.71180008272764
36,10,"mcp",-0.761945669367487,2.29576435452758
36,20,"mcp",0.314272342564204,1.49474304541961
36,50,"mcp",-0.0584933648470183,2.35978398325628
