"rep","n","method","R2","RMSE"
1,10,"scad",-464.97849927823,4.57163758592182
1,20,"scad",-0.882572877101711,3.12877697214914
1,50,"scad",-0.1537581142461,3.41649571915381
1,100,"scad",-0.116446889550937,4.45641313889796
1,250,"scad",0.0933492305450155,3.58950191351039
1,500,"scad",0.288096276021217,3.89378646734991
1,1000,"scad",0.392104720301764,3.21251517915468
2,10,"scad",-10.732035367242,1.60402680317916
2,20,"scad",-0.0161923540681852,6.2858546658846
2,50,"scad",-1.5195829609258,3.9616079440544
2,100,"scad",0.00661959220840191,3.65917789261766
2,250,"scad",0.0202432261268439,3.7324410451228
2,500,"scad",0.137654194110929,3.42801155916196
2,1000,"scad",0.320371767387554,3.40708527673354
3,10,"scad",-63.1000910929463,2.58390752877254
3,20,"scad",-0.613218092785022,4.14454383251949
3,50,"scad",-0.188296933858869,3.14928888788687
3,100,"scad",0.135914478606688,4.21658607297913
3,250,"scad",0.16806563497961,4.69678365483057
3,500,"scad",0.205245397997862,3.71142327436176
3,1000,"scad",0.403756979376761,3.56804253312193
4,10,"scad",-7.44958821650476,5.15482673467392
4,20,"scad",-2.17676205228197,4.72366843850299
4,50,"scad",0.0219058486495789,2.82109840459622
4,100,"scad",-0.262496392149522,3.66540420098209
4,250,"scad",0.0521694950871608,4.49839723681123
4,500,"scad",0.322574198658329,3.74926250477076
4,1000,"scad",0.353689504298139,3.24959196420816
5,10,"scad",-1.09791072655179,4.81097413052567
5,20,"scad",-0.00882435690039318,1.84023332376976
5,50,"scad",-0.936199276053117,6.3613141014251
5,100,"scad",-0.0839707210918554,3.89177977406852
5,250,"scad",-0.0469736010746182,4.36436560149229
5,500,"scad",0.254575007224015,3.90182622420246
5,1000,"scad",0.411526117895162,3.25866524708506
6,10,"scad",-0.341649178051904,2.69643994535019
6,20,"scad",-0.822914337667747,2.30279179577922
6,50,"scad",-0.398660683924823,3.35781734657907
6,100,"scad",-0.0492474746038489,3.94168481666754
6,250,"scad",0.192852435657017,4.41188574154088
6,500,"scad",0.259713090001679,3.79225576210383
6,1000,"scad",0.371385173471527,3.5856928622659
7,10,"scad",-1.17292120326711,6.33211736554582
7,20,"scad",-2.60265303082928,2.94772431231018
7,50,"scad",-0.289473235091277,3.97478972124072
7,100,"scad",0.389092860457326,3.63499265607493
7,250,"scad",0.0958946986841556,3.78051655513653
7,500,"scad",0.248579247787285,3.78762737763071
7,1000,"scad",0.487975058781463,3.0841626808269
8,10,"scad",-4.66104273246826,4.42149652313476
8,20,"scad",-0.432427937098669,6.03173757831316
8,50,"scad",-0.111243530776607,4.05430473844614
8,100,"scad",-0.00829606527596649,4.05244218268661
8,250,"scad",0.0584794047554047,4.28781223615678
8,500,"scad",0.299687433170724,3.47823119990286
