"n","method","Jaccard_stability_mean","Jaccard_stability_sd"
10,"ridge",NA,NA
20,"ridge",NA,NA
50,"ridge",NA,NA
100,"ridge",NA,NA
250,"ridge",NA,NA
500,"ridge",NA,NA
1000,"ridge",NA,NA
10,"lasso",0.322694098269856,0.467303277988719
20,"lasso",0.278981893136783,0.447935129630401
50,"lasso",0.110290948498884,0.30777264222695
100,"lasso",0.0562220123963944,0.209638972059512
250,"lasso",0.0610427969450815,0.0268676306167038
500,"lasso",0.157221393235071,0.024291525339514
1000,"lasso",0.30485173575095,0.0214317225277419
10,"enet",0.104605317680169,0.299079410434484
20,"enet",0.0858576344532144,0.273528301933251
50,"enet",0.0398861975714218,0.152831948687014
100,"enet",0.0365609374328836,0.0364935522331781
250,"enet",0.103965564209011,0.0370649799708069
500,"enet",0.194425842673849,0.0361107896333932
1000,"enet",0.326046735789376,0.0294764060060786
10,"adalasso",0.0366210750528932,0.182721958259571
20,"adalasso",0.0462247820833638,0.201171093229975
50,"adalasso",0.0226325804185939,0.0854152439161435
100,"adalasso",0.0371047543912016,0.0200450355544575
250,"adalasso",0.100364588206151,0.0206370403714856
500,"adalasso",0.186005304185448,0.0209536835046226
1000,"adalasso",0.283792295138939,0.0179746133839774
10,"scad",0.322719897386564,0.467312314236548
20,"scad",0.289537496132205,0.453145951629061
50,"scad",0.136935682892126,0.340630935054004
100,"scad",0.0783386904194025,0.255297100085031
250,"scad",0.0502356368675876,0.030219274209617
500,"scad",0.121711131683788,0.0258560751166553
1000,"scad",0.246670741360636,0.0249890198706935
10,"mcp",0.357744107744108,0.479285165233499
20,"mcp",0.446739618406285,0.497147292803769
50,"mcp",0.248148310724068,0.431357170363855
100,"mcp",0.138037823271033,0.34057056071686
250,"mcp",0.0286955911892338,0.0711167263373565
500,"mcp",0.0884425228681875,0.0356642492345924
1000,"mcp",0.240402462140163,0.0364874635266387
